StudyID,ES_ID,prg_out,Cn_aid_prg_typ,typ_out,Cn_aid_EGM_typ,Co02_macro.1,Cn_Assign_anl_re,g_yi_f,g_vi,z_pofo_int_eSS,z_pofo_co_eSS
27,326642,09 State aid_B00 Enrollment,09 State aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,-6.06050117135058e-4,2.5e-5,21669,21669
19,326645,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RCT ITT,0.0511040195592106,0.239500293245494,37,33
7,326648,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,0.0133330029705123,2.5e-5,17797,12475
7,326653,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,-0.0151511397392186,1e-4,17797,12475
7,326654,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,-0.00303022794784372,1.69e-4,17797,12475
7,326655,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,0.00969672943309996,2.25e-4,17797,12475
7,326659,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.0103027750226686,1.6e-5,17797,12475
7,326661,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.0036362735374125,1.44e-4,17797,12475
7,326662,02 Institutional aid_F00 Labor market,02 Institutional aid,Merit-based only_F00 Labor market,Merit-based only,F00 Labor market,01 NonRandom QED TOT,0.00537371365110106,1.5087562003618e-4,13256,13256
7,326663,02 Institutional aid_F00 Labor market,02 Institutional aid,Merit-based only_F00 Labor market,Merit-based only,F00 Labor market,01 NonRandom QED TOT,0.00757713429580254,1.65934983260685e-4,12053,12053
