factor_1,factor_2,factor_3,beta,SE,df,CI_L,CI_U,n_studies,n_es
01 Promise program,B00 Enrollment,01 Need-based only,0.945,NA,NA,NA,NA,2,7
01 Promise program,B00 Enrollment,Both Need and Merit-Based,0.009,0.004,1.013,-0.035,0.054,3,17
01 Promise program,B00 Enrollment,Merit-based only,0.015,NA,NA,NA,NA,2,12
01 Promise program,B00 Enrollment,Neither Need nor Merit-Based,0.011,0.029,2.983,-0.081,0.103,4,15
01 Promise program,C00 College academic achievement,Both Need and Merit-Based,-0.067,NA,NA,NA,NA,2,3
01 Promise program,D01 Persistence,Both Need and Merit-Based,0.142,NA,NA,NA,NA,2,2
01 Promise program,D01 Persistence,Merit-based only,0.049,NA,NA,NA,NA,2,3
01 Promise program,D01 Persistence,Neither Need nor Merit-Based,0.038,NA,NA,NA,NA,2,2
01 Promise program,E00 Degree completion,Both Need and Merit-Based,0.002,0.002,1.001,-0.024,0.028,3,8
01 Promise program,E00 Degree completion,Neither Need nor Merit-Based,0.015,NA,NA,NA,NA,1,8
02 Institutional aid,B00 Enrollment,01 Need-based only,0.404,NA,NA,NA,NA,2,3
02 Institutional aid,B00 Enrollment,Both Need and Merit-Based,0.021,NA,NA,NA,NA,1,4
02 Institutional aid,B00 Enrollment,Merit-based only,0.194,0.138,3.303,-0.222,0.61,5,13
02 Institutional aid,C00 College academic achievement,01 Need-based only,0.047,0.025,1.632,-0.089,0.184,6,17
02 Institutional aid,C00 College academic achievement,Both Need and Merit-Based,-0.029,NA,NA,NA,NA,1,2
02 Institutional aid,C00 College academic achievement,Merit-based only,0.047,0.103,1.695,-0.48,0.575,3,10
02 Institutional aid,C00 College academic achievement,Neither Need nor Merit-Based,-0.16,NA,NA,NA,NA,1,4
02 Institutional aid,D00 Credit accumulation,01 Need-based only,0.085,0.042,2.486,-0.064,0.235,7,38
02 Institutional aid,D00 Credit accumulation,Merit-based only,0.222,NA,NA,NA,NA,1,1
02 Institutional aid,D01 Persistence,01 Need-based only,0.137,0.064,3.326,-0.056,0.331,8,36
02 Institutional aid,D01 Persistence,Both Need and Merit-Based,0.262,NA,NA,NA,NA,1,1
02 Institutional aid,D01 Persistence,Merit-based only,-0.229,NA,NA,NA,NA,2,2
02 Institutional aid,D01 Persistence,Neither Need nor Merit-Based,0.868,NA,NA,NA,NA,1,2
02 Institutional aid,E00 Degree completion,01 Need-based only,0.253,0.121,4.324,-0.074,0.58,6,18
02 Institutional aid,E00 Degree completion,Both Need and Merit-Based,0.205,NA,NA,NA,NA,2,2
02 Institutional aid,E00 Degree completion,Merit-based only,0.002,0.001,1.003,-0.009,0.013,4,9
02 Institutional aid,E00 Degree completion,Neither Need nor Merit-Based,0.487,NA,NA,NA,NA,1,2
02 Institutional aid,F00 Labor market,Merit-based only,0.059,NA,NA,NA,NA,2,8
05 Federal targeted aid,B00 Enrollment,01 Need-based only,0.238,0.234,1.998,-0.769,1.246,3,12
05 Federal targeted aid,C00 College academic achievement,01 Need-based only,0.39,0.223,1.961,-0.588,1.368,3,6
05 Federal targeted aid,D00 Credit accumulation,01 Need-based only,0.366,NA,NA,NA,NA,2,6
05 Federal targeted aid,D01 Persistence,01 Need-based only,0.009,NA,NA,NA,NA,2,2
05 Federal targeted aid,E00 Degree completion,01 Need-based only,0.19,NA,NA,NA,NA,2,2
05 Federal targeted aid,F00 Labor market,01 Need-based only,0.26,NA,NA,NA,NA,2,3
06 National scholarship,B00 Enrollment,Both Need and Merit-Based,0.01,0.01,1.007,-0.11,0.129,3,7
06 National scholarship,C00 College academic achievement,Both Need and Merit-Based,0.049,0.015,1.983,-0.015,0.112,3,10
06 National scholarship,C00 College academic achievement,Merit-based only,-0.108,NA,NA,NA,NA,1,2
06 National scholarship,D00 Credit accumulation,Both Need and Merit-Based,0.116,NA,NA,NA,NA,2,8
06 National scholarship,D01 Persistence,Both Need and Merit-Based,0.039,NA,NA,NA,NA,2,9
06 National scholarship,E00 Degree completion,Both Need and Merit-Based,0.016,0.011,1.669,-0.041,0.072,4,6
07 Student performance-based financial incentives,B00 Enrollment,01 Need-based only,0.072,0.047,4.424,-0.053,0.198,6,27
07 Student performance-based financial incentives,B00 Enrollment,Both Need and Merit-Based,-0.539,NA,NA,NA,NA,1,1
07 Student performance-based financial incentives,B00 Enrollment,Merit-based only,0.315,NA,NA,NA,NA,1,5
07 Student performance-based financial incentives,C00 College academic achievement,01 Need-based only,0.099,0.05,2.787,-0.065,0.264,4,25
07 Student performance-based financial incentives,C00 College academic achievement,Both Need and Merit-Based,-0.071,NA,NA,NA,NA,1,2
07 Student performance-based financial incentives,D00 Credit accumulation,01 Need-based only,0.229,0.14,4.851,-0.135,0.592,6,62
07 Student performance-based financial incentives,D00 Credit accumulation,Both Need and Merit-Based,0.009,NA,NA,NA,NA,1,9
07 Student performance-based financial incentives,D00 Credit accumulation,Merit-based only,0.073,NA,NA,NA,NA,1,6
07 Student performance-based financial incentives,D01 Persistence,01 Need-based only,0.105,0.063,1.794,-0.2,0.41,3,33
07 Student performance-based financial incentives,D01 Persistence,Both Need and Merit-Based,-0.162,NA,NA,NA,NA,1,7
