"","ES_ID","X","StudyID","y_CER","include_meta","He07_scale_re","He09_AQreceived","He11_funding","He12_COI","He05_Country_re","He05_Country_nonus","He16_published","He_asgn_type","Sa07_males","Sa21_scl_set","Sa22_scl_type","Sa08_SES_re","Sa_perc_nonwt","Sa_age_re","Sa24_be_dif_re","Cn02_condit","Cn03_name","Cn03_name_re","Cn05_lng_wks","Cn06_fidel","Cn08_univ_tert","Cn09_focus","Cn04_who_impl_re","Cn_devl_impl","Cn_Curr_group","Cn_Target_group","Cn_SclPlcy_group","Cn_PsyEd_group","Cn_SklRle_group","Cn_Train_group","Cn_Inter_group","Cn12_co_type","Cn13_co_same_scl","Cn14_co_contam","Co02_macro.1","Co03b_micro.1","Co03a_prp_vic.1","Co05_who.1","Co06_direction.1","Co07_nu_itms.1","Co10_coeff_val.1","Co12_att_beh.1","Co13_timeframe.1","z_pofo_weeks","z_post_or_follow","z_pre_int_eSS","z_pre_co_eSS","z_pofo_int_eSS","z_pofo_co_eSS","z_pofo_co_SS","z_pofo_int_SS","vi","yi_flp","yi_type","He17_attrition","He18_ba_eqv","He19_confound","He20_reliability","He21_any_other_issues","He22_WWC_rating"
"1",326172,1,1228,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.524,"02  Urban","01  Public",4,0.191,11.7,"test-diff-found","01  Intervention","ViSC","Named Program",52,"no-meas","01  Universal","no-cyber-target","teacher-or-staff","Oth-combo",1,0,1,1,1,1,0,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"2-10",0.96,"02 Behavior","02 - 30 days or 1 month",0,"01  Posttest",1165,563,1132,547,665,1377,0.00202273159874459,-0.0956522743567598,"dnd_mn","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"2",326173,127,1228,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.524,"02  Urban","01  Public",4,0.191,11.7,"test-diff-found","01  Intervention","ViSC","Named Program",52,"no-meas","01  Universal","no-cyber-target","teacher-or-staff","Oth-combo",1,0,1,1,1,1,0,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","02 Victimization","01  Self-report",NA,"2-10",0.95,"02 Behavior","03 - 60 days or 2 months",0,"01  Posttest",1199,579,1208,583,665,1377,0.00194279873863593,-0.0766361923121939,"dnd_mn","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"3",326175,213,1228,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.524,"02  Urban","01  Public",4,0.191,11.7,"test-diff-found","01  Intervention","ViSC","Named Program",52,"no-meas","01  Universal","no-cyber-target","teacher-or-staff","Oth-combo",1,0,1,1,1,1,0,"01  Business as usual or no intervention","02 No","02 No","B00  Aggression/Bullying","B01  Aggression","01 Perpetration","01  Self-report",NA,"2-10",0.95,"02 Behavior","03 - 60 days or 2 months",0,"01  Posttest",921,445,921,445,665,1377,0.00162127228826627,0.0504548173548258,"dnd_mn","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"4",326176,242,1228,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.524,"02  Urban","01  Public",4,0.191,11.7,"test-diff-found","01  Intervention","ViSC","Named Program",52,"no-meas","01  Universal","no-cyber-target","teacher-or-staff","Oth-combo",1,0,1,1,1,1,0,"01  Business as usual or no intervention","02 No","02 No","B00  Aggression/Bullying","B01  Aggression","02 Victimization","01  Self-report",NA,"2-10",0.95,"02 Behavior","03 - 60 days or 2 months",0,"01  Posttest",888,429,888,429,665,1377,0.00168250778895032,0.0743948325780533,"dnd_mn","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"5",326177,421,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Long","Named Program",10,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","H00  Internalizing","H05  Other positive internalizing ","01 Perpetration","01  Self-report",NA,"2-10",0.89,"01 Attitude","-98 GPA or other measure on the day of ",24,"01  Posttest",1763.2,2574,136,209,347,225,0.0186687548732751,-0.105311521397355,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"6",326178,420,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Short","Named Program",0.14,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","H00  Internalizing","H05  Other positive internalizing ","01 Perpetration","01  Self-report",NA,"2-10",0.89,"01 Attitude","-98 GPA or other measure on the day of ",24,"01  Posttest",1521.2,2922,79,209,347,131,0.0462262645576608,-0.214412390003459,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"7",326179,422,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Long","Named Program",10,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","H00  Internalizing","H05  Other positive internalizing ","01 Perpetration","01  Self-report",NA,"2-10",0.83,"01 Attitude","-98 GPA or other measure on the day of ",24,"01  Posttest",1290.6,2522.4,136,209,347,225,0.0186626335885306,-0.0828663385540804,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"8",326180,419,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Short","Named Program",0.14,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","H00  Internalizing","H05  Other positive internalizing ","01 Perpetration","01  Self-report",NA,"2-10",0.83,"01 Attitude","-98 GPA or other measure on the day of ",24,"01  Posttest",1465.4,2570.2,113,169,280,187,0.0221152148660655,-0.131109933785989,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"9",326181,5,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Long","Named Program",10,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"10-plus",0.91,"02 Behavior","06 - Lifetime (""ever"")",24,"01  Posttest",1420.8,2518.6,137,211,350,228,0.0185543473550711,-0.0956164464263589,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
"10",326182,6,1385,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.463,"02  Urban","01  Public",3,0,13.36,"test-diff-found","01  Intervention","Media Heroes - Short","Named Program",0.14,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"10-plus",0.91,"02 Behavior","06 - Lifetime (""ever"")",24,"01  Posttest",1772.6,2574,82,211,350,136,0.0436628805664142,-0.226605066269742,"beta","ha-una-rct","above-05-controls","no-confound","relib-met","no","MSWR"
