es,var,study_id,factor_1,factor_2,factor_3
-0.0956522743567598,0.00202273159874459,1228,Randomized School, Cyberbullying, Public
-0.0766361923121939,0.00194279873863593,1228,Randomized School, Cyberbullying, Public
0.0504548173548258,0.00162127228826627,1228,Randomized School, Aggression/Bullying, Public
0.0743948325780533,0.00168250778895032,1228,Randomized School, Aggression/Bullying, Public
-0.105311521397355,0.0186687548732751,1385,Randomized Class, Internalizing, Public
-0.214412390003459,0.0462262645576608,1385,Randomized Class, Internalizing, Public
-0.0828663385540804,0.0186626335885306,1385,Randomized Class, Internalizing, Public
-0.131109933785989,0.0221152148660655,1385,Randomized Class, Internalizing, Public
-0.0956164464263589,0.0185543473550711,1385,Randomized Class, Cyberbullying, Public
-0.226605066269742,0.0436628805664142,1385,Randomized Class, Cyberbullying, Public
-0.0863295634172223,0.0023863924019574,1096,Randomized School, Cyberbullying, Private
-0.295218586113928,0.0143127047421952,1160,Randomized Class, Cyberbullying, Public
-0.00684960841440332,0.00904268497418267,1525,Non-Randomized Individual, Cyberbullying, Public
0.00745277237446498,0.00904269415150249,1525,Non-Randomized Individual, Cyberbullying, Public
-0.0123018515865959,0.00904279605760504,1525,Non-Randomized Individual, Aggression/Bullying, Public
0.00544092864668687,0.00904266655563916,1525,Non-Randomized Individual, Aggression/Bullying, Public
-0.132802823904734,0.0193509893459272,1398,Randomized School, Internalizing, Public
-0.121541776814212,0.0118012701751841,1398,Randomized School, Internalizing, Public
-0.0368482613649473,0.0125102864622892,1398,Randomized School, Internalizing, Public
0.101851873142566,0.024980334237375,1398,Randomized School, Internalizing, Public
0.0606004520659729,0.0107540041423547,1398,Randomized School, Internalizing, Public
0.100034405564413,0.0156373119905837,1398,Randomized School, Internalizing, Public
-0.170163411602767,0.0288929084212823,1398,Randomized School, Cyberbullying, Public
-0.0565380861244046,0.0200142336552707,1398,Randomized School, Cyberbullying, Public
-0.130582562277379,0.0196852945016123,1398,Randomized School, Cyberbullying, Public
0.0604066869688136,0.0219846770596732,1398,Randomized School, Cyberbullying, Public
-0.0440319065418785,0.0170543898735429,1398,Randomized School, Cyberbullying, Public
-0.0535142937087865,0.0157812649417643,1398,Randomized School, Cyberbullying, Public
-0.619182574261807,0.0225,2142,Randomized Individual, Cyberbullying, Public
-0.00467024988212048,0.00275885118135619,1096,Randomized School, Cyberbullying, Private
0.138849654749698,0.0146554770023969,6134,Randomized School, Cyberbullying, Public
-0.0500564135543365,0.0145874460109587,6134,Randomized School, Cyberbullying, Public
-0.0273693862172376,0.0146472939060623,6134,Randomized School, Cyberbullying, Public
-0.162207669132102,0.01465826162576,6134,Randomized School, Cyberbullying, Public
